This list contains all games supported by FinalBurn Neo.

12109 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 19xxjr2	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxd		|  	| 19XX - the war against destiny (951207 USA Phoenix Edi| 19xx		| 1995	| bootleg	| CPS2		| 					|
| 19xx		|  	| 19XX - the war against destiny (951207 USA)		| 		| 1995	| Capcom	| CPS2		| 					|
| 19xxb		|  	| 19XX - the war against destiny (951218 Brazil)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxh		|  	| 19XX - the war against destiny (951218 Hispanic)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxjr1	|  	| 19XX - the war against destiny (951225 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxa		|  	| 19XX - the war against destiny (960104 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxj		|  	| 19XX - the war against destiny (960104 Japan, yellow c| 19xx		| 1996	| Capcom	| CPS2		| 					|
| md_2psymmac	|  	| 2 in 1 - Psycho Pinball & Micro Machines (Euro)	| 		| 1993	| Codemasters	| Sega Megadrive| 					|
| openice	| D	| 2 On 2 Open Ice Challenge (rev 1.21)			| 		| 1995	| Midway	| MIDWAY Wolf-Un| 					|
| openicea	| D	| 2 On 2 Open Ice Challenge (rev 1.2A)			| openice	| 1995	| Midway	| MIDWAY Wolf-Un| 					|
| sms_20em1	| D	| 20 em 1 (Bra)						| 		| 1995	| Tec Toy	| Sega Master Sy| 					|
| cv_2010p1	|  	| 2010: The Graphic Action Game (Prototype v44)		| cv_2010	| 1984	| Coleco	| ColecoVision	| 					|
| cv_2010p	|  	| 2010: The Graphic Action Game (Prototype v54)		| cv_2010	| 1984	| Coleco	| ColecoVision	| 					|
| cv_2010	|  	| 2010: The Graphic Action Game				| 		| 1984	| Coleco	| ColecoVision	| 					|
| 2020bb	|  	| 2020 Super Baseball (set 1)				| 		| 1991	| SNK / Pallas	| Neo Geo MVS	| 					|
| 2020bba	|  	| 2020 Super Baseball (set 2)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo MVS	| 					|
| 2020bbh	|  	| 2020 Super Baseball (set 3)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo AES	| 					|
| md_2020bbj	|  	| 2020 Toshi Super Baseball (Jpn)			| md_2020bb	| 1994	| Electronic Art| Sega Megadrive| 					|
| pce_21emon	|  	| 21 Emon - Mezase Hotel ou!!				| 		| 1994	| NEC Home Elect| PC Engine	| 					|
| 3countb	|  	| 3 Count Bout / Fire Suplex (NGM-043)(NGH-043)		| 		| 1993	| SNK		| Neo Geo MVS	| 					|
| 3countba	|  	| 3 Count Bout / Fire Suplex (NGM-043)			| 3countb	| 1993	| SNK		| Neo Geo MVS	| 					|
| md_3in1fwt	|  	| 3 in 1 Flashback - World Championship Soccer - Tecmo W| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| md_3in1rmb	|  	| 3 in 1 Road Rash - Ms. Pac-Man - Block Out (Pirate)	| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| md_3ninja	|  	| 3 Ninjas Kick Back (USA)				| 		| 1994	| Psygnosis	| Sega Megadrive| 					|
| 3x3puzzl	|  	| 3X3 Puzzle (Enterprise)				| 		| 1998	| Ace Enterprise| Miscellaneous	| 					|
| 3x3puzzla	|  	| 3X3 Puzzle (Normal)					| 3x3puzzl	| 1998	| Ace Enterprise| Miscellaneous	| 					|
| 4enraya	|  	| 4 En Raya (set 1)					| 		| 1990	| IDSA		| Miscellaneous	| 					|
| 4enrayaa	|  	| 4 En Raya (set 2)					| 4enraya	| 1990	| IDSA		| Miscellaneous	| 					|
| 4in1		|  	| 4 Fun in 1						| 		| 1981	| Armenia / Food| Galaxian	| 					|
| md_4in1pb	|  	| 4 in 1 (Pirate)					| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| sms_4pak	|  	| 4 PAK All Action (Aus)				| 		| 1995	| HES		| Sega Master Sy| 					|
| 4play		|  	| 4 player input test					| 		| ???	| SNK		| Neo Geo MVS	| 4 player  input test cartridge	|
| 4dwarrio	|  	| 4-D Warriors (315-5162)				| 		| 1985	| Coreland / Seg| System 1	| 					|
| gg_5in1fun	|  	| 5 in 1 Funpak (USA)					| 		| 1994	| Interplay	| Sega Game Gear| 					|
| md_6pak	|  	| 6-Pak (USA)						| 		| 1996	| Sega		| Sega Megadrive| 					|
| 600		|  	| 600							| turtles	| 1981	| Konami	| Galaxian	| 					|
| 64streetja	|  	| 64th. Street - A Detective Story (Japan, alt)		| 64street	| 1991	| Jaleco	| Mega System 1	| 					|
| 64streetj	|  	| 64th. Street - A Detective Story (Japan, set 1)	| 64street	| 1991	| Jaleco	| Mega System 1	| 					|
| 64street	|  	| 64th. Street - A Detective Story (World)		| 		| 1991	| Jaleco	| Mega System 1	| 					|
| md_688atsub	|  	| 688 Attack Sub (Euro, USA)				| 		| 1991	| Sega		| Sega Megadrive| 					|
| 7ordi		|  	| 7 Ordi (Korea)					| 		| 2002	| Yun Sung	| Miscellaneous	| 					|
| spec_720deg	|  	| 720 Degrees (48K)					| 		| 1986	| U.S. Gold	| ZX Spectrum	| 					|
| 800fath	|  	| 800 Fathoms						| mariner	| 1981	| Amenip (US Bil| Galaxian	| 					|
| sms_94swc	|  	| 94 Super World Cup Soccer (Kor)			| 		| 1994	| Daou Infosys	| Sega Master Sy| 					|
| md_bugslifea	|  	| A Bug's Life (Alt?)					| md_bugslife	| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_bugslife	|  	| A Bug's Life						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_dinotale	|  	| A Dinosaur's Tale (USA)				| 		| 1993	| Hi-Tech Expres| Sega Megadrive| 					|
| msx_m36	|  	| A Life Planet - M36 - Mother Brain has been aliving (J| 		| 1987	| Pixel		| MSX		| 					|
| msx_anaza	|  	| A Na Za - Kaleidoscope Special (Jpn)			| 		| 1987	| GA-Yume	| MSX		| 					|
| md_aresshmd	|  	| A Ressha de Ikou MD - Take the 'A' Train (Jpn)	| 		| 1992	| Sega		| Sega Megadrive| 					|
| ablast	|  	| A-Blast (Japan)					| penbros	| 2000	| Subsino	| Newer Seta	| 					|
| abcopjd	|  	| A.B. Cop (Japan, FD1094 317-0169b decrypted)		| abcop		| 1990	| Sega		| X-Board	| 					|
| abcopj	|  	| A.B. Cop (Japan, FD1094 317-0169b)			| abcop		| 1990	| Sega		| X-Board	| 					|
| abcopd	|  	| A.B. Cop (World, FD1094 317-0169b decrypted)		| abcop		| 1990	| Sega		| X-Board	| 					|
| abcop		|  	| A.B. Cop (World, FD1094 317-0169b)			| 		| 1990	| Sega		| X-Board	| 					|
| ad2083	|  	| A.D. 2083						| 		| 1983	| Midcoin	| Galaxian	| Incomplete Sound			|
| msx_ae	|  	| A.E. (Jpn)						| 		| 1982	| Toshiba EMI	| MSX		| 					|
| msx_a1spirit	|  	| A1 Spirit - The Way to Formula-1 (Jpn)		| msx_f1spirit	| 1987	| Panasoft	| MSX		| Set BIOS to Japanese mode.		|
| gg_aaharima	|  	| Aa Harimanada (Jpn)					| 		| 1993	| Sega		| Sega Game Gear| 					|
| md_aaharima	|  	| Aa Harimanada (Jpn)					| 		| 1993	| Sega		| Sega Megadrive| 					|
| md_aaahhrm	|  	| AAAHH!!! Real Monsters (Euro)				| 		| 1995	| Viacom New Med| Sega Megadrive| 					|
| md_aaahhrmu	|  	| AAAHH!!! Real Monsters (USA)				| md_aaahhrm	| 1995	| Viacom New Med| Sega Megadrive| 					|
| msx_aaargh	|  	| Aaargh! (Spa)						| 		| 1989	| Dro Soft	| MSX		| 					|
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					|
| msx_abusimbel	|  	| Abu Simbel Profanation				| 		| 1986	| Dinamic	| MSX		| 					|
| aceattac	|  	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					|
| aceattaca	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					|
| sms_aceoface	|  	| Ace of Aces (Euro)					| 		| 1991	| Sega		| Sega Master Sy| 					|
| acrobatm	|  	| Acrobat Mission					| 		| 1991	| UPL (Taito lic| NMK16		| 					|
| dogfgtu	|  	| Acrobatic Dog-Fight (USA)				| dogfgt	| 1985	| Technos Japan | Miscellaneous	| 					|
| dogfgt	|  	| Acrobatic Dog-Fight					| 		| 1984	| Technos Japan	| Miscellaneous	| 					|
| actfancrj	|  	| Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr1	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr2	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 2)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 3)| 		| 1989	| Data East Corp| Miscellaneous	| 					|
| md_action52	|  	| Action 52 (USA)					| 		| 1993	| Active Enterpr| Sega Megadrive| 					|
| md_action52a	|  	| Action 52 (USA, Alt)					| md_action52	| 1993	| Active Enterpr| Sega Megadrive| 					|
| spec_afighter	|  	| Action Fighter (128K)					| 		| 1989	| Firebird Softw| ZX Spectrum	| 					|
| spec_afighter_48|  	| Action Fighter (48K)					| spec_afighter	| 1989	| Firebird Softw| ZX Spectrum	| 					|
| sms_actionfg1	|  	| Action Fighter (Euro, Jpn, v1)			| sms_actionfg	| 1986	| Sega		| Sega Master Sy| 					|
| sms_actionfg	|  	| Action Fighter (Euro, USA, Bra, v2)			| 		| 1986	| Sega		| Sega Master Sy| 					|
| afighterc	|  	| Action Fighter (FD1089B 317-unknown)			| afighter	| 1986	| Sega		| System 16A	| 					|
| afighterd	|  	| Action Fighter (FD1089B 317-unknown, analog controls)	| afighter	| 1986	| Sega		| System 16A	| 					|
| afighterh	|  	| Action Fighter (System 16B, FD1089A 317-0018)		| afighter	| 1991	| Sega		| System 16B	| 					|
| afighterg	|  	| Action Fighter (System 16B, FD1089B 317-unknown)	| afighter	| 1991	| Sega		| System 16B	| 					|
| afighterf	|  	| Action Fighter (System 16B, FD1089B 317-unknown, analo| afighter	| 1991	| Sega		| System 16B	| 					|
| afightere	|  	| Action Fighter (System 16B, unprotected, analog contro| afighter	| 1991	| Sega		| System 16B	| 					|
| afightera	|  	| Action Fighter (unprotected)				| afighter	| 1986	| Sega		| System 16A	| 					|
| afighterb	|  	| Action Fighter (unprotected, analog controls)		| afighter	| 1986	| Sega		| System 16A	| 					|
| afighter	|  	| Action Fighter, FD1089A 317-0018			| 		| 1986	| Sega		| System 16A	| 					|
| md_ar		|  	| Action Replay (Euro)					| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| msx_actman	|  	| Actman (Jpn)						| 		| 1985	| ASCII		| MSX		| 					|
| msx_actmana	|  	| Actman (Jpn, Alt)					| msx_actman	| 1985	| ASCII		| MSX		| 					|
| md_addfamv	|  	| Addams Family Values (Euro)				| 		| 1994	| Ocean		| Sega Megadrive| 					|
| msx_addictbl	|  	| Addictaball (Euro)					| 		| 1988	| Alligata Softw| MSX		| 					|
| msx_adel	|  	| Adel (Spa)						| 		| 1986	| Mind Games Esp| MSX		| 					|
| spec_adichafo	|  	| Adidas Championship Football (128K)			| 		| 1990	| Ocean		| ZX Spectrum	| 					|
| md_advdaisn	|  	| Advanced Daisenryaku - Deutsch Dengeki Sakusen (Jpn, R| 		| 1991	| Sega		| Sega Megadrive| 					|
| sms_herolanc	|  	| Advanced Dungeons and Dragons - Heroes of the Lance (E| 		| 1991	| U.S. Gold	| Sega Master Sy| 					|
| spec_advlawn2	|  	| Advanced Lawnmower Simulator II (128K)		| 		| 1990	| JA Software	| ZX Spectrum	| 					|
| pce_advislnd	|  	| Adventure Island					| 		| 1991	| Hudson	| PC Engine	| 					|
| hatena	|  	| Adventure Quiz 2 - Hatena? no Daibouken (Japan 900228)| 		| 1990	| Capcom	| Miscellaneous	| 					|
| cworld2j	|  	| Adventure Quiz Capcom World 2 (920611 Japan)		| 		| 1992	| Capcom	| CPS1		| 					|
| cworld2ja	|  	| Adventure Quiz Capcom World 2 (Japan 920611, B-Board 9| cworld2j	| 1992	| Capcom	| CPS1		| 					|
| cworld2jb	|  	| Adventure Quiz Capcom World 2 (Japan 920611, B-Board 9| cworld2j	| 1992	| Capcom	| CPS1		| 					|
| md_adveboy	|  	| Adventurous Boy - Mao Xian Xiao Zi (Chi)		| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| sms_aerialas	|  	| Aerial Assault (Euro, Bra)				| 		| 1990	| Sega		| Sega Master Sy| 					|
| gg_aerialasj	|  	| Aerial Assault (Jpn, v1)				| gg_aerialas	| 1992	| Sega		| Sega Game Gear| 					|
| sms_aerialasu	|  	| Aerial Assault (USA)					| sms_aerialas	| 1990	| Sega		| Sega Master Sy| 					|
| gg_aerialas	|  	| Aerial Assault (World, v0)				| 		| 1992	| Sega		| Sega Game Gear| 					|
| md_aeroblst	|  	| Aero Blasters: Trouble Specialty Raid Unit (Jpn)	| md_airbustr	| 1991	| Kaneko	| Sega Megadrive| 					|
| pce_aeroblst	|  	| Aero Blasters						| 		| 1990	| Hudson	| PC Engine	| 					|
| tg_aeroblst	|  	| Aero Blasters						| 		| 1990	| NEC		| TurboGrafx 16	| 					|
| aerofgtb	|  	| Aero Fighters (Turbo Force hardware set 1)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| aerofgtc	|  	| Aero Fighters (Turbo Force hardware set 2)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| sonicwi2	|  	| Aero Fighters 2 / Sonic Wings 2			| 		| 1994	| Video System C| Neo Geo MVS	| 					|
| sonicwi3	|  	| Aero Fighters 3 / Sonic Wings 3			| 		| 1995	| Video System C| Neo Geo MVS	| 					|
| aerofgt	|  	| Aero Fighters						| 		| 1992	| Video System C| Video System	| 					|
| md_aero	|  	| Aero the Acro-Bat (Euro)				| 		| 1993	| Sunsoft	| Sega Megadrive| 					|
| md_aerop	|  	| Aero the Acro-Bat (Prototype)				| md_aero	| 1993	| Sunsoft	| Sega Megadrive| 					|
| md_aerou	|  	| Aero the Acro-Bat (USA)				| md_aero	| 1993	| Sunsoft	| Sega Megadrive| 					|
| md_aero2	|  	| Aero the Acro-Bat 2 (Euro)				| 		| 1994	| Sunsoft	| Sega Megadrive| 					|
| md_aero2u	|  	| Aero the Acro-Bat 2 (USA)				| md_aero2	| 1994	| Sunsoft	| Sega Megadrive| 					|
| md_aerobiz	|  	| Aerobiz (USA)						| 		| 1992	| Koei		| Sega Megadrive| 					|
| md_aerobizs	|  	| Aerobiz Supersonic (USA)				| 		| 1994	| Koei		| Sega Megadrive| 					|
| aeroboto	|  	| Aeroboto						| formatz	| 1984	| Jaleco (Willia| Miscellaneous	| 					|
| aerolitos	|  	| Aerolitos (Spanish bootleg of Asteroids)		| asteroid	| 1980	| bootleg (Rodma| Miscellaneous	| 					|
| sms_aburner	|  	| After Burner (World)					| 		| 1987	| Sega		| Sega Master Sy| 					|
| md_aburner2	|  	| After Burner II (Euro, USA)				| 		| 1990	| Sega		| Sega Megadrive| 					|
| aburner2g	|  	| After Burner II (German)				| aburner2	| 1987	| Sega		| X-Board	| 					|
| md_aburner2j	|  	| After Burner II (Jpn)					| md_aburner2	| 1990	| Denpa Shinbuns| Sega Megadrive| 					|
| aburner2	|  	| After Burner II					| 		| 1987	| Sega		| X-Board	| 					|
| pce_aburner2	|  	| After Burner II					| 		| 1990	| NEC Avenue	| PC Engine	| 					|
| aburner	|  	| After Burner						| aburner2	| 1987	| Sega		| X-Board	| 					|
